,book_id,authors,title,isbn13,in_to_read_list,final_score
0,8648,"Bernadette Rossetti-Shustak, Caroline Jayne Church",I Love You Through And Through,9780439673630.0,False,2.8335014985896243
1,3741,Lisa Gardner,Love You More,9780553807260.0,False,2.451641602564717
2,269,Cecelia Ahern,"PS, I Love You",9780786890750.0,False,2.3968241758875677
3,863,"Sam McBratney, Anita Jeram",Guess How Much I Love You,9780763600140.0,False,2.370043261465274
4,6402,Cecily von Ziegesar,You Know You Love Me,9780316911480.0,False,2.299106945913058
5,608,"Robert Munsch, Sheila McGraw",Love You Forever,9780920668380.0,False,2.296479245538473
6,9423,Sarra Manning,You Don't Have to Say You Love Me,9780552163290.0,False,2.1091740113122004
7,2112,Jenny Han,P.S. I Still Love You,9781442426730.0,False,1.9751874872181467
8,2813,Caroline Kepnes,You,9781476785590.0,False,1.8649092396209987
9,656,Ally Carter,"I'd Tell You I Love You, But Then I'd Have to Kill You",9781423100030.0,False,1.8190666480123134
10,3401,Jennifer Weiner,Who Do You Love,9781451617820.0,False,1.7391722740115352
11,7636,"Durjoy Datta, Maanvi Ahuja",of course i love you,9788188575660.0,False,1.731145530207631
12,8479,Siri Hustvedt,What I Loved,9780340682390.0,False,1.6806023898569944
13,6986,Lurlene McDaniel,"Don't Die, My Love",9780553567150.0,False,1.6702480239917357
14,9523,Chuck Palahniuk,Beautiful You,9780385538040.0,False,1.6487314088651712
15,2051,Katherine Dunn,Geek Love,9780375713350.0,False,1.6231269641213593
16,6388,Elizabeth Scott,Perfect You,9781416953560.0,False,1.6177722024380052
17,827,Jenny Han,To All the Boys I've Loved Before,,False,1.5756659249835012
18,2794,C.S. Lewis,The Four Loves,9780006280900.0,False,1.5520375480607291
19,9149,Katie MacAlister,You Slay Me,9780451411520.0,False,1.5441596965193969
